Level,Module,Hangul,Português,English,Difficulty,Type,MF,ExtraPT,ExtraENG,Extra
N1,1,가수,Cantor,Singer,Easy,명사,-,-,-,-
N1,1,강아지,Cachorro,Dog,Easy,명사,-,-,-,-
N1,1,고양이,"Gato, Gata",Cat,Easy,명사,a,-,-,-
N1,1,공부하다,Estudar,Study,Easy,동사,-,-,-,-
N1,1,공책,Caderno,Notebook,Easy,명사,-,-,-,-
N1,1,나쁘다,Ser mal,"Bad, Wrong",Easy,형용사,-,-,-,-
N1,1,남자,Homem,Man,Easy,명사,-,-,-,-
N1,1,네,Sim,Yes,Easy,감탄사,-,-,-,-
N1,1,높다 [놉따],Ser alto,"High, Tall",Easy,형용사,-,-,-,-
N1,1,느리다,Ser lento,Slow,Easy,형용사,-,-,-,-
N1,1,늦다 [늗따],"Atrasar-se, Estar atrasado","Be late, Late",Easy,동사/형용사,-,-,-,-
N1,1,덥다 [덥따],"Estar calor, Calor",Hot,Easy,형용사,-,-,-,-
N1,1,도서관,Biblioteca,Library,Easy,명사,-,-,-,-
N1,1,도쿄,Tóquio,Tokyo,Easy,명사,-,-,-,-
N1,1,똑똑하다 [똑또카다],Ser inteligente,"Smart, Clever, Bright, Intelligent",Easy,형용사,-,-,-,-
N1,1,마시다,Beber,Drink,Easy,동사,-,-,-,-
N1,1,먹다 [먹따],Comer,Eat,Easy,동사,-,-,-,-
N1,1,물,Água,Water,Easy,명사,-,-,-,-
N1,1,뭐 (= 무엇),"O que, Que",What,Easy,대명사,-,-,-,-
N1,1,미국,Estados Unidos,United States,Easy,명사,-,-,-,-
N1,1,바나나,Banana,Banana,Easy,명사,-,-,-,-
N1,1,밤,Noite,Night,Easy,명사,-,-,-,-
N1,1,배우,"Ator, Atriz","Actor, Actress",Easy,명사,-,Atriz,Actress,-
N1,1,베트남,Vietnã,Vietnam,Easy,명사,-,-,-,-
N1,1,부산,Busan,Busan,Easy,명사,-,Cidade coreana,Korean city,-
N1,1,브라질,Brasil,Brazil,Easy,명사,-,-,-,-
N1,1,사과,Maçã,Apple,Easy,명사,-,-,-,-
N1,1,사람,Pessoa,Person,Easy,명사,-,-,-,-
N1,1,살다,"Viver, Morar",Live,Easy,동사,-,-,-,-
N1,1,샤워하다,Tomar banho,Shower,Easy,동사,-,-,-,-
N1,1,선생님,Professor,"Teacher, Master",Easy,명사,-,-,-,-
N1,1,쉬다,Descansar,"Rest, Relax",Easy,동사,-,-,-,-
N1,1,싫다,"Ser ruim, Não gostar","Hate, Dislike",Easy,형용사,-,-,-,-
N1,1,아니요,Não,No,Easy,감탄사,-,-,-,-
N1,1,아이,Criança,"Child, Children, Kid",Easy,명사,-,-,-,-
N1,1,아프다,Estar doente,"Sick, Painful, Hurt",Easy,형용사/동사,-,-,-,-
N1,1,알다,Saber,"Know, Learn",Easy,동사,-,-,-,-
N1,1,양치하다,Escovar os dentes,Brush teeth,Easy,동사,-,-,-,-
N1,1,열심히 [열씸히],"Fervorosamente, Com dedicação, Com devoção, Com esforço, Com afinco","Diligently, Easy, Enthusiastically, Zealously",Easy,부사,-,-,-,-
N1,1,오다,Vir,Come,Easy,동사,-,-,-,-
